Date/Time,CAISO_SOLAR,CAISO_WIND,NP15_LOAD,SP15_LOAD,NP15_THERM,SP15_THERM, PG&E ,SOCAL ,Malin 
12/1/2022,"5,695","2,496","13,549","15,630","2,480","1,887",16.8,19.29,17.1
12/2/2022,"6,707","1,876","12,982","15,049","2,484","1,545",19.2,19.13,18.48
12/3/2022,"5,869",627,"12,784","13,889","2,174","1,382",15.26,15.93,14.92
12/4/2022,"6,541","1,757","12,039","13,962","1,930","1,421",15.26,15.93,14.92
12/5/2022,"7,701","2,957","12,827","15,255","1,866","1,422",15.26,15.93,14.92
12/6/2022,"7,093","1,688","13,028","15,500","1,950","1,623",17.17,18.99,16.96
12/7/2022,"8,842","1,355","13,143","15,647","1,914","1,649",17.8,17.73,17.21
12/8/2022,"8,718","1,447","13,446","15,620","1,889","1,549",20.96,22.87,20.65
12/9/2022,"8,879","2,068","12,832","15,317","1,883","1,754",32.03,31.53,30.83
12/10/2022,"6,941","2,175","12,189","14,321","1,789","1,514",46.59,45.46,44.2
12/11/2022,"6,458","3,154","12,655","14,741","1,457","1,481",46.59,45.46,44.2
12/12/2022,"7,053","2,113","13,309","16,657","1,468","1,600",46.59,45.46,44.2
12/13/2022,"9,442","1,017","13,623","16,253","1,390","1,190",38.59,42.96,38.28
12/14/2022,"9,159",296,"13,657","16,201","1,401","1,127",48.17,49.67,47.15
12/15/2022,"6,581",427,"13,411","15,978","1,492","1,320",23.29,26.89,23.2
12/16/2022,"9,363",795,"13,248","15,257","1,468","1,151",38.92,35.57,33.74
12/17/2022,"7,350",356,"12,354","14,667","1,357","1,137",30.49,34.03,28.93
12/18/2022,"9,361","1,185","12,666","14,490","1,280","1,302",30.49,34.03,28.93
12/19/2022,"9,065",288,"13,806","15,831","1,311","1,522",30.49,34.03,28.93
12/20/2022,"8,958","1,328","13,121","15,618","1,227","1,127",40.69,36.12,31.5
12/21/2022,"9,490","1,432","13,397","15,604","1,684","1,279",25.22,27.81,24.62
12/22/2022,"7,219","1,178","12,984","15,472","1,417","1,136",57.07,48.74,55.38
12/23/2022,"9,077","1,087","12,139","14,493","1,162","1,286",31.28,36.96,30.18
12/24/2022,"9,298",407,"11,843","13,630",912,"1,181",39.84,37.64,37.02
12/25/2022,"8,456",315,"11,217","12,981",854,"1,227",39.84,37.64,37.02
12/26/2022,"6,678","1,026","12,155","14,065","1,148","1,230",39.84,37.64,37.02
12/27/2022,"4,110","2,840","12,706","14,969",645,"1,308",39.84,37.64,37.02
12/28/2022,"8,409","3,463","12,617","15,953","1,227","1,847",27.67,28.56,25.89
12/29/2022,"4,829","1,787","12,819","15,138","1,198","1,225",22.64,21.02,20.02
12/30/2022,"5,628","2,948","12,320","14,523",986,"1,823",16.32,15.02,15.03
12/31/2022,"3,876","2,763","12,257","14,126",824,"1,653",16.32,15.02,15.03
1/1/2023,"7,865","4,105","11,409","13,736",582,744,14.91,18.49,14.78
1/2/2023,"6,453","1,902","13,367","15,164",569,"1,446",14.91,18.49,14.78
1/3/2023,"6,929","1,937","13,283","15,756",639,"1,421",14.91,18.49,14.78
1/4/2023,"4,352","1,510","12,870","15,254",769,"1,880",23.3,26.41,22.27
1/5/2023,"4,823","2,547","12,574","15,452",999,"2,147",18.67,20.18,17.54
1/6/2023,"9,052","1,565","12,403","14,805","1,056","1,898",16.67,18.65,15.61
1/7/2023,"5,669",951,"11,922","13,868","1,506","1,890",17.17,19.4,16.2
1/8/2023,"7,055","1,354","11,798","13,914","1,310",873,17.17,19.4,16.2
