Date/Time,CAISO (SOLAR_FORECAST) Average Latest Maximum,SP15 (SOLAR_FORECAST Latest) - NP15 (SOLAR_FORECAST Latest) Maximum,CAISO (WIND_FORECAST) Average Latest Maximum,SP15 (WIND_FORECAST Latest) - NP15 (WIND_FORECAST Latest) Maximum,CAISO (PRT_FCAST_15D_LOAD_LATEST) Average Latest Maximum,SP15 (PRT_FCAST_15D_LOAD_LATEST Latest) - NP15 (PRT_FCAST_15D_LOAD_LATEST Latest),NP15 (REG_THERM_GEN_OFFLINE) Average,SP15 (REG_THERM_GEN_OFFLINE) Average,PG&E - Citygate (NGI_GASPRICE_AVG) Average,Socal-Citygate (NGI_GASPRICE_AVG ) - PG&E - Citygate (NGI_GASPRICE_AVG ),TH_SP15_GEN-APND (DALMP ) - TH_NP15_GEN-APND (DALMP )
7/1/2023 7:00,2558.79,1635.07,1052.33,426.15,23554,1086,962.31,2140.64,3.855,0.06,0.14273
7/1/2023 8:00,8197.94,4902.58,651.83,276.07,24804,1482,970.79,2158.46,3.855,0.06,-1.09028
7/1/2023 9:00,12104.36,7070.21,357.76,152.66,25625,1487,1012.85,2194.35,3.855,0.06,-1.28445
7/1/2023 10:00,13509.97,7930.71,176.96,68.58,25794,1928,1061.18,2217.33,3.855,0.06,-1.8967
7/1/2023 11:00,14152.14,8384.94,110.89,54.73,25897,2245,1127.17,2263,3.855,0.06,-1.60664
7/1/2023 12:00,14469.92,8609.97,132.68,98.78,26229,2431,1179.89,2277.57,3.855,0.06,-1.94599
7/1/2023 13:00,14552.4,8676.63,186.96,150.04,26942,2482,1215.45,2293.61,3.855,0.06,-1.69171
7/1/2023 14:00,14511.5,8653.99,238.55,158.35,28420,2388,1250.7,2299.03,3.855,0.06,-1.13073
7/1/2023 15:00,14344.02,8509.65,302.15,113.17,30062,1996,1281.04,2310.16,3.855,0.06,-1.22907
7/1/2023 16:00,13929.62,8182.84,428.14,69.82,32049,1701,1286.49,2327.71,3.855,0.06,-1.24498
7/1/2023 17:00,13189.44,7638.42,676.46,124.46,33615,1457,1264.98,2270.71,3.855,0.06,-0.76953
7/1/2023 18:00,11375.36,6396.16,1142.46,389.06,35221,1023,1245.85,2259.76,3.855,0.06,-0.46615
7/1/2023 19:00,6905.59,3588.32,1772.12,896.64,36076,42,1145.25,2200.06,3.855,0.06,1.366
7/1/2023 20:00,1805.16,781.43,2307.14,1336.66,35752,-566,1106.1,2168.39,3.855,0.06,2.59205
7/1/2023 21:00,6.63,-1.06,2705.93,1548.89,34978,-958,1059.81,2137.76,3.855,0.06,2.66723
7/1/2023 22:00,0,0,2965.43,1636.95,33597,-971,1020.24,2119.84,3.855,0.06,2.76588
7/2/2023 7:00,2481.77,1623.54,1945.39,884.79,22883,357,961.52,925.34,3.855,0.06,-0.31274
7/2/2023 8:00,8015.41,4891.87,1585.77,633.45,24203,541,940.2,942.19,3.855,0.06,-3.50485
7/2/2023 9:00,11902.55,7048.49,1201.17,372.33,25175,693,973.47,979.74,3.855,0.06,-4.2432
7/2/2023 10:00,13340.82,7887.5,899.23,160.31,25075,761,1021.81,1016.74,3.855,0.06,-7.47606
7/2/2023 11:00,14018,8336.48,725.89,-40.99,24971,569,1079.67,1042.61,3.855,0.06,-4.94401
7/2/2023 12:00,14346.99,8555.5,690.49,-191.23,25480,660,1127.61,1070.37,3.855,0.06,-4.5144
7/2/2023 13:00,14401.12,8591.86,772.58,-247.98,26333,1205,1121.31,1093.88,3.855,0.06,-4.44557
7/2/2023 14:00,14346.9,8558.18,954.2,-225.4,27807,1799,1145.74,1116.45,3.855,0.06,-3.52446
7/2/2023 15:00,14135.75,8362.72,1256.68,-76.6,29658,1786,1161.35,1149.95,3.855,0.06,-2.05126
7/2/2023 16:00,13673.12,7985.76,1630.26,192.48,31431,2011,1165.44,1154.24,3.855,0.06,-3.50627
7/2/2023 17:00,12889.25,7410.4,1968.12,484.36,32945,1729,1151.26,1147.48,3.855,0.06,-1.00035
7/2/2023 18:00,11017.77,6135.02,2220.87,699.41,34536,1234,1126.17,1121.96,3.855,0.06,0.41671
7/2/2023 19:00,6613.32,3373.19,2408.12,859.22,35556,706,1106.52,1093.07,3.855,0.06,2.1894
7/2/2023 20:00,1717.31,715.25,2597.99,1018.17,35313,609,1062.53,1044.07,3.855,0.06,4.16046
7/2/2023 21:00,6.13,-1,2893.38,1200.02,34386,464,1016.33,1014.35,3.855,0.06,3.75347
7/2/2023 22:00,0,0,3180.99,1371.69,32858,536,980.46,995.8,3.855,0.06,3.0998
7/3/2023 7:00,2431.82,1531.17,2989.25,834.99,24933,1231,856.42,1046.99,3.855,0.06,0.38859
7/3/2023 8:00,7907.91,4677.38,2649.84,570.42,26896,1250,866.1,958.75,3.855,0.06,-1.24904
7/3/2023 9:00,11809.37,6836.63,2290.99,377.37,27841,1913,884.63,983.48,3.855,0.06,-2.29992
7/3/2023 10:00,13296.05,7750.5,2046.55,366.89,27831,2665,919.62,1016.61,3.855,0.06,-6.2186
7/3/2023 11:00,14003.38,8253.21,1934.76,451.82,28126,3098,959.69,1052.95,3.855,0.06,-3.99554
7/3/2023 12:00,14345.16,8508.89,2024.2,595.5,28221,3011,1007.1,1090.24,3.855,0.06,-7.03398
7/3/2023 13:00,14442.7,8595.68,2252.42,738.7,28414,2836,933.09,1104.38,3.855,0.06,-4.35194
7/3/2023 14:00,14394.16,8555.21,2506.75,898.81,29035,3191,957.93,1136.78,3.855,0.06,-1.10498
7/3/2023 15:00,14196.98,8377.79,2722.87,1049.25,30287,3145,978.18,1140.97,3.855,0.06,-1.22858
7/3/2023 16:00,13709.43,7983.32,2898.32,1168.68,32000,3252,988.36,1141.86,3.855,0.06,-1.52671
7/3/2023 17:00,12929.53,7408.33,3085.76,1308.32,33432,3204,980.11,1142.28,3.855,0.06,-0.0224
7/3/2023 18:00,11114.73,6169.83,3243.21,1381.93,34639,2993,966.17,1108.44,3.855,0.06,-0.08731
7/3/2023 19:00,6715.74,3410.36,3347.16,1400.5,35049,2467,942.79,1085.71,3.855,0.06,4.24326
7/3/2023 20:00,1756.26,724.88,3415.69,1428.21,34214,2082,905.52,1029.33,3.855,0.06,6.08769
7/3/2023 21:00,6.32,-1.46,3514.29,1457.07,33466,1924,855.73,998.58,3.855,0.06,9.73775
7/3/2023 22:00,0,0,3578.1,1439.46,31675,1833,815.35,967.79,3.855,0.06,9.70344
7/4/2023 7:00,2510.48,1584.58,2518.13,419.21,22933,637,810.82,1269.36,3.855,0.06,-0.27122
7/4/2023 8:00,8161.89,4833.19,2224.15,267.79,23451,1055,816.91,1278.78,3.855,0.06,-3.62016
7/4/2023 9:00,12111.26,7025.09,1924.69,274.33,24018,1732,839.62,1303.37,3.855,0.06,-13.88552
7/4/2023 10:00,13518.64,7904.3,1780.09,490.07,23246,1828,868.33,1207.04,3.855,0.06,-20.19959
7/4/2023 11:00,14152.06,8360.45,1783.87,754.35,22728,2256,899.95,1235.54,3.855,0.06,-22.79724
7/4/2023 12:00,14455.16,8581.86,1946.66,1053.18,22529,2519,933.99,1248.64,3.855,0.06,-17.43383
7/4/2023 13:00,14520.46,8639.56,2223.56,1324.02,22870,2590,974.25,1255.24,3.855,0.06,-18.73938
7/4/2023 14:00,14484.17,8616.13,2571.56,1504.24,23780,2600,1010.17,1268.23,3.855,0.06,-14.30428
7/4/2023 15:00,14334.59,8486.65,2925.95,1597.23,24979,2565,1037.17,1271.93,3.855,0.06,-7.86059
7/4/2023 16:00,13932.51,8165.98,3230.99,1645.97,26385,2715,1048.68,1274.49,3.855,0.06,-2.44142
7/4/2023 17:00,13212.81,7632.25,3468.21,1698.83,27820,3074,1046.42,1265.45,3.855,0.06,-3.63811
7/4/2023 18:00,11443.9,6425.94,3649.85,1734.37,29556,2814,1039.08,1257.36,3.855,0.06,-0.90128
7/4/2023 19:00,6998.88,3628.59,3762.8,1744.04,30417,2185,1014.92,1238.65,3.855,0.06,1.12172
